rank	feature_id	instability_count	instability_conditions	mean_SSI	mean_stability_deviation	max_stability_deviation
114	RvY_18956-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
115	RvY_18984-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
116	RvY_19664-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
117	RvY_00777-1	3	des;gam;lt	0.7142857142857143	0.2857142857142857	0.5
118	RvY_00857-1	3	des;gam;lt	0.7142857142857143	0.2857142857142857	0.5
119	RvY_01427-1	3	des;gam;lt	0.7142857142857143	0.2857142857142857	0.5
120	RvY_08612-1	3	des;gam;lt	0.7142857142857143	0.2857142857142857	0.5
121	RvY_08665-1	3	des;gam;lt	0.7142857142857143	0.2857142857142857	0.5
122	RvY_12429	3	des;gam;lt	0.7142857142857143	0.2857142857142857	0.5
123	RvY_16412-1	3	des;gam;lt	0.7142857142857143	0.2857142857142857	0.5
124	RvY_03876	3	des;lt;uv	0.7172619047619048	0.28273809523809523	0.5714285714285714
125	RvY_05015-1	3	des;lt;uv	0.7172619047619048	0.28273809523809523	0.5714285714285714
126	RvY_05182-1	3	des;lt;uv	0.7172619047619048	0.28273809523809523	0.5714285714285714
127	RvY_05334-1	3	des;lt;uv	0.7172619047619048	0.28273809523809523	0.5714285714285714
128	RvY_14003-1	3	des;lt;uv	0.7172619047619048	0.28273809523809523	0.5714285714285714
129	RvY_00479-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
130	RvY_00565-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
131	RvY_00631-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
132	RvY_01441	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
133	RvY_01532-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
134	RvY_02814-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
135	RvY_04767-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
136	RvY_04951-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
137	RvY_05163-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
138	RvY_06201-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
139	RvY_07673-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
140	RvY_09024-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
141	RvY_09520	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
142	RvY_09837-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
143	RvY_11051-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
144	RvY_11861-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
145	RvY_12724-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
146	RvY_13048-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
147	RvY_15641	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
148	RvY_16066-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
149	RvY_17362-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
150	RvY_18153-1	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
151	RvY_18223	3	des;lt;uv	0.7202380952380952	0.27976190476190477	0.5
152	RvY_14820-1	3	des;gam;lt	0.7261904761904762	0.27380952380952384	0.5
