condition	feature_id	n_perturbations	n_up	n_down	n_const	p_up	p_down	p_const	dominant_state	ssi	stability_region	signal_class	stability_deviation
DES	RvY_03855-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03856-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03859-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03866-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03877-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03889-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03931-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03940-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03941	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03957-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03959-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03966-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03984-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03997-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_03998-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04008-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04009-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04011-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04017-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04023-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04026-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04027-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04039-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04040-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04045-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04049-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04053-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_04086	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
