evidence_row_id	condition	FSF_region	source	term_id	official_term_name	official_namespace_or_identifier_type	adjusted_p	enrichment_measure	significant_term_count_context	mapping_status	candidate_theme_ids	candidate_themes	theme_assignment_status
SEMANTIC_EVIDENCE_02798	GAM	Stable	GO	GO:0061063	positive regulation of nematode larval development	biological_process	0.00196727620403522	3.18030464045342	3174	mapped	H09;H13	Broad regulatory and signaling processes; Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02799	GAM	Stable	GO	GO:0002020	protease binding	molecular_function	0.0019684213475061	2.75218670808469	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02800	GAM	Stable	GO	GO:0021549	cerebellum development	biological_process	0.0019684213475061	2.75218670808469	3174	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02801	GAM	Stable	GO	GO:0030098	lymphocyte differentiation	biological_process	0.0019684213475061	2.75218670808469	3174	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02802	GAM	Stable	GO	GO:0031023	microtubule organizing center organization	biological_process	0.0019684213475061	2.75218670808469	3174	mapped	C05	Cytoskeleton and cell motility	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02803	GAM	Stable	GO	GO:0051668	localization within membrane	biological_process	0.0019684213475061	2.75218670808469	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02804	GAM	Stable	GO	GO:0071426	obsolete ribonucleoprotein complex export from nucleus	biological_process	0.00202302849469502	2.47696803727622	3174	obsolete			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02805	GAM	Stable	GO	GO:0071216	cellular response to biotic stimulus	biological_process	0.00203406115562517	2.86227417640808	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02806	GAM	Stable	GO	GO:0055001	muscle cell development	biological_process	0.00204308351435247	2.07874660856452	3174	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02807	GAM	Stable	GO	GO:0022843	voltage-gated monoatomic cation channel activity	molecular_function	0.00207376299232798	2.02877372702621	3174	mapped	C01	Membrane transport and ion homeostasis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02808	GAM	Stable	GO	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	biological_process	0.00212547757462996	2.63197625416835	3174	mapped	H05;H07;H13	Broad regulatory and signaling processes; Metabolism and redox processes; Protein turnover and proteostasis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02809	GAM	Stable	GO	GO:0071427	obsolete mRNA-containing ribonucleoprotein complex export from nucleus	biological_process	0.00212547757462996	2.63197625416835	3174	obsolete	C02	RNA processing and expression	CANDIDATE_MAPPING_AVAILABLE
