condition	feature_id	p_up	p_down	p_const	ssi	dominant_state	stability_region	signal_class
LT	RvY_07010	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07011-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07012-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07013-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07014-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07015-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07016-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07017-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07018-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07019-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07020-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07021	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07022-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07023-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07025-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07026-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07027-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07028-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07029-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07030-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07031-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07032	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07033-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07034-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07035	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07038-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07039-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07040	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07041	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07042-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07043-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07044-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07045-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07049-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07050-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07051-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07052-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07053	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07054-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07057-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07058	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07059-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07062	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07063-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07064-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07065-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07066-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07067-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07068	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07069-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07070	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07071-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07072-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07073	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07074-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07075-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07076-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07077-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07078-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07080-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07081-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07082-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07083-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07084-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07086-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07087-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07088-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07090-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07091-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07092-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07093	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07094-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07096-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07097-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07099-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07101	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07102-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07103	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07104	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07105	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07106-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07107-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07108	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07110	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07111-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07112-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07113-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07115-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07116-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07117-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07118-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07119	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07120-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07121-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07122	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07123-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07128	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07129-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07130-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07131-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07133-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07134-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07136-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07137-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07138-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07139-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07140-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07142-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07144-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07145	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07146-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07147-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07148-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
