kegg_id	kegg_identifier_type	kegg_name	kegg_description_if_available	source_version	mapping_status
K07426	KO	CYP4B1	cytochrome P450 family 4 subfamily B1 [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
K07535	KO	badH	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase [EC:1.1.1.-]	KEGG KO 2026-09-18	mapped
K07748	KO	NSDHL, ERG26	sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170]	KEGG KO 2026-09-18	mapped
K07763	KO	MMP14	matrix metalloproteinase-14 (membrane-inserted) [EC:3.4.24.80]	KEGG KO 2026-09-18	mapped
K07817	KO	PTPRN	receptor-type tyrosine-protein phosphatase N [EC:3.1.3.48]	KEGG KO 2026-09-18	mapped
K07918	KO	RAB32	Ras-related protein Rab-32	KEGG KO 2026-09-18	mapped
K07923	KO	RAB38	Ras-related protein Rab-38	KEGG KO 2026-09-18	mapped
K07935	KO	IFT22, RABL5	intraflagellar transport protein 22	KEGG KO 2026-09-18	mapped
K07994	KO	MMP13	matrix metalloproteinase-13 (collagenase 3) [EC:3.4.24.-]	KEGG KO 2026-09-18	mapped
K07999	KO	MMP20	matrix metalloproteinase-20 (enamelysin) [EC:3.4.24.-]	KEGG KO 2026-09-18	mapped
K08000	KO	MMP21	matrix metalloproteinase-21 [EC:3.4.24.-]	KEGG KO 2026-09-18	mapped
K08017	KO	AVIL	advillin	KEGG KO 2026-09-18	mapped
K08031	KO	PAX6	paired box protein 6	KEGG KO 2026-09-18	mapped
K08033	KO	NEUROD1	neurogenic differentiation factor 1	KEGG KO 2026-09-18	mapped
K08052	KO	NF1	neurofibromin 1	KEGG KO 2026-09-18	mapped
K08076	KO	E3.4.24.21	astacin [EC:3.4.24.21]	KEGG KO 2026-09-18	mapped
K08134	KO	P3H1	procollagen-proline 3-dioxygenase 1 [EC:1.14.11.7]	KEGG KO 2026-09-18	mapped
K08143	KO	SLC2A5, GLUT5	MFS transporter, SP family, solute carrier family 2 (facilitated glucose/fructose transporter), member 5	KEGG KO 2026-09-18	mapped
K08198	KO	SLC22A1, OCT1	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 1	KEGG KO 2026-09-18	mapped
K08203	KO	SLC22A6, OAT1	MFS transporter, OCT family, solute carrier family 22 (organic anion transporter), member 6	KEGG KO 2026-09-18	mapped
K08204	KO	SLC22A7, OAT2	MFS transporter, OCT family, solute carrier family 22 (organic anion transporter), member 7	KEGG KO 2026-09-18	mapped
K08211	KO	SLC22A15	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 15	KEGG KO 2026-09-18	mapped
K08237	KO	E2.4.1.218	hydroquinone glucosyltransferase [EC:2.4.1.218]	KEGG KO 2026-09-18	mapped
K08252	KO	E2.7.10.1	receptor protein-tyrosine kinase [EC:2.7.10.1]	KEGG KO 2026-09-18	mapped
K08409	KO	GPR45	G protein-coupled receptor 45	KEGG KO 2026-09-18	mapped
K08471	KO	GR	gustatory receptor	KEGG KO 2026-09-18	mapped
K08494	KO	NSPN	novel plant SNARE	KEGG KO 2026-09-18	mapped
K08508	KO	SNAP23	synaptosomal-associated protein 23	KEGG KO 2026-09-18	mapped
K08558	KO	NR4A2, NURR1	nuclear receptor subfamily 4 group A member 2	KEGG KO 2026-09-18	mapped
K08606	KO	MEP1B	meprin B [EC:3.4.24.63]	KEGG KO 2026-09-18	mapped
K08637	KO	CPA4	carboxypeptidase A4 [EC:3.4.17.-]	KEGG KO 2026-09-18	mapped
K08664	KO	PRSS8	prostasin [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K08716	KO	SLC14A	solute carrier family 14 (urea transporter)	KEGG KO 2026-09-18	mapped
K08738	KO	CYC	cytochrome c	KEGG KO 2026-09-18	mapped
K08752	KO	FABP3	fatty acid-binding protein 3, muscle and heart	KEGG KO 2026-09-18	mapped
K08756	KO	FABP7	fatty acid-binding protein 7, brain	KEGG KO 2026-09-18	mapped
K08778	KO	ASTL	astacin-like metalloendopeptidase [EC:3.4.-.-]	KEGG KO 2026-09-18	mapped
K08779	KO	CPA1	carboxypeptidase A1 [EC:3.4.17.1]	KEGG KO 2026-09-18	mapped
K08780	KO	CPA3	carboxypeptidase A3 [EC:3.4.17.1]	KEGG KO 2026-09-18	mapped
K08781	KO	CPA5	carboxypeptidase A5 [EC:3.4.17.1]	KEGG KO 2026-09-18	mapped
