kegg_id	kegg_identifier_type	kegg_name	kegg_description_if_available	source_version	mapping_status
K01446	KO	PGRP	peptidoglycan recognition protein	KEGG KO 2026-09-18	mapped
K01489	KO	cdd, CDA	cytidine deaminase [EC:3.5.4.5]	KEGG KO 2026-09-18	mapped
K01495	KO	GCH1, folE	GTP cyclohydrolase IA [EC:3.5.4.16]	KEGG KO 2026-09-18	mapped
K01540	KO	ATP1B, CD298	sodium/potassium-transporting ATPase subunit beta	KEGG KO 2026-09-18	mapped
K01581	KO	E4.1.1.17, ODC1, speC, speF	ornithine decarboxylase [EC:4.1.1.17]	KEGG KO 2026-09-18	mapped
K01832	KO	TBXAS1, CYP5A	thromboxane-A synthase [EC:5.3.99.5]	KEGG KO 2026-09-18	mapped
K01858	KO	INO1, ISYNA1	myo-inositol-1-phosphate synthase [EC:5.5.1.4]	KEGG KO 2026-09-18	mapped
K01893	KO	NARS, asnS	asparaginyl-tRNA synthetase [EC:6.1.1.22]	KEGG KO 2026-09-18	mapped
K01946	KO	ACACB	acetyl-CoA carboxylase / biotin carboxylase 2 [EC:6.4.1.2 6.3.4.14 2.1.3.15]	KEGG KO 2026-09-18	mapped
K02104	KO	AOS	protein giant-lens (argos)	KEGG KO 2026-09-18	mapped
K02151	KO	ATPeV1F, ATP6S14	V-type H+-transporting ATPase subunit F	KEGG KO 2026-09-18	mapped
K02183	KO	CALM	calmodulin	KEGG KO 2026-09-18	mapped
K02259	KO	COX15, ctaA	heme a synthase [EC:1.17.99.9]	KEGG KO 2026-09-18	mapped
K02520	KO	infC, MTIF3	translation initiation factor IF-3	KEGG KO 2026-09-18	mapped
K02934	KO	RP-L6e, RPL6	large subunit ribosomal protein L6e	KEGG KO 2026-09-18	mapped
K03094	KO	SKP1, CBF3D	S-phase kinase-associated protein 1	KEGG KO 2026-09-18	mapped
K03102	KO	SQD	squid	KEGG KO 2026-09-18	mapped
K03113	KO	EIF1, SUI1	translation initiation factor 1	KEGG KO 2026-09-18	mapped
K03211	KO	ETV6_7, yan	ETS translocation variant 6/7	KEGG KO 2026-09-18	mapped
K03243	KO	EIF5B	translation initiation factor 5B	KEGG KO 2026-09-18	mapped
K03264	KO	EIF6	translation initiation factor 6	KEGG KO 2026-09-18	mapped
K03283	KO	HSPA1_6_8	heat shock 70kDa protein 1/6/8	KEGG KO 2026-09-18	mapped
K03317	KO	TC.CNT	concentrative nucleoside transporter, CNT family	KEGG KO 2026-09-18	mapped
K03381	KO	catA	catechol 1,2-dioxygenase [EC:1.13.11.1]	KEGG KO 2026-09-18	mapped
K03495	KO	gidA, mnmG, MTO1	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	KEGG KO 2026-09-18	mapped
K03514	KO	PAPD5_7, TRF4	non-canonical poly(A) RNA polymerase PAPD5/7 [EC:2.7.7.19]	KEGG KO 2026-09-18	mapped
K03518	KO	coxS	aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]	KEGG KO 2026-09-18	mapped
K03686	KO	dnaJ	molecular chaperone DnaJ	KEGG KO 2026-09-18	mapped
K03781	KO	katE, CAT, catB, srpA	catalase [EC:1.11.1.6]	KEGG KO 2026-09-18	mapped
K03791	KO	K03791	putative chitinase	KEGG KO 2026-09-18	mapped
K03877	KO	B3GALT5	beta-1,3-galactosyltransferase 5 [EC:2.4.1.-]	KEGG KO 2026-09-18	mapped
K03883	KO	ND5	NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]	KEGG KO 2026-09-18	mapped
K03910	KO	A2M	alpha-2-macroglobulin	KEGG KO 2026-09-18	mapped
K03933	KO	cpbD	chitin-binding protein	KEGG KO 2026-09-18	mapped
K03940	KO	NDUFS7	NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:7.1.1.2]	KEGG KO 2026-09-18	mapped
