go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:0050662	GO:0050662	obsolete coenzyme binding	molecular_function	obsolete		releases/2026-07-26	obsolete
GO:0050880	GO:0097746	blood vessel diameter maintenance	biological_process	current		releases/2026-07-26	alternate_id
GO:0051090	GO:0051090	obsolete regulation of DNA-binding transcription factor activity	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0051102	GO:0051102	obsolete DNA ligation involved in DNA recombination	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0051103	GO:0051103	obsolete DNA ligation involved in DNA repair	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0051171	GO:0051171	obsolete regulation of nitrogen compound metabolic process	biological_process	obsolete	replaced_by:GO:0019222	releases/2026-07-26	obsolete
GO:0051172	GO:0051172	obsolete negative regulation of nitrogen compound metabolic process	biological_process	obsolete	replaced_by:GO:0009892	releases/2026-07-26	obsolete
GO:0051173	GO:0051173	obsolete positive regulation of nitrogen compound metabolic process	biological_process	obsolete	replaced_by:GO:0019222	releases/2026-07-26	obsolete
GO:0051186	GO:0051186	obsolete cofactor metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0051188	GO:0051188	obsolete cofactor biosynthetic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0051270	GO:0051270	obsolete regulation of cellular component movement	biological_process	obsolete		releases/2026-07-26	obsolete
