go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:0090322	GO:0090322	regulation of superoxide metabolic process	biological_process	current		releases/2026-07-26	mapped
GO:0090328	GO:0090328	regulation of olfactory learning	biological_process	current		releases/2026-07-26	mapped
GO:0090329	GO:0090329	regulation of DNA-templated DNA replication	biological_process	current		releases/2026-07-26	mapped
GO:0090435	GO:0090435	protein localization to nuclear envelope	biological_process	current		releases/2026-07-26	mapped
GO:0090501	GO:0090501	obsolete RNA phosphodiester bond hydrolysis	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0090502	GO:0090502	obsolete RNA phosphodiester bond hydrolysis, endonucleolytic	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0090537	GO:0090537	CERF complex	cellular_component	current		releases/2026-07-26	mapped
GO:0090558	GO:0090558	plant epidermis development	biological_process	current		releases/2026-07-26	mapped
GO:0090568	GO:0017053	transcription repressor complex	cellular_component	current		releases/2026-07-26	alternate_id
GO:0090575	GO:0090575	RNA polymerase II transcription regulator complex	cellular_component	current		releases/2026-07-26	mapped
