condition	feature_id	SSI	stability_level	stability_level_clean
des	RvY_00795-1	1	highly_stable	Highly stable
des	RvY_00797-1	1	highly_stable	Highly stable
des	RvY_00798-1	1	highly_stable	Highly stable
des	RvY_00799-1	1	highly_stable	Highly stable
des	RvY_00803-1	1	highly_stable	Highly stable
des	RvY_00805-1	1	highly_stable	Highly stable
des	RvY_00809-1	1	highly_stable	Highly stable
des	RvY_00811	1	highly_stable	Highly stable
des	RvY_00813-1	1	highly_stable	Highly stable
des	RvY_00814-1	1	highly_stable	Highly stable
des	RvY_00815-1	1	highly_stable	Highly stable
des	RvY_00816	1	highly_stable	Highly stable
des	RvY_00820-1	1	highly_stable	Highly stable
des	RvY_00821-1	1	highly_stable	Highly stable
des	RvY_00823	1	highly_stable	Highly stable
des	RvY_00825-1	1	highly_stable	Highly stable
des	RvY_00826-1	1	highly_stable	Highly stable
des	RvY_00827	1	highly_stable	Highly stable
des	RvY_00828	1	highly_stable	Highly stable
des	RvY_00829-1	1	highly_stable	Highly stable
des	RvY_00832-1	1	highly_stable	Highly stable
des	RvY_00833-1	1	highly_stable	Highly stable
des	RvY_00835-1	1	highly_stable	Highly stable
des	RvY_00837	1	highly_stable	Highly stable
des	RvY_00838-1	1	highly_stable	Highly stable
des	RvY_00840-1	1	highly_stable	Highly stable
des	RvY_00842-1	1	highly_stable	Highly stable
des	RvY_00845-1	1	highly_stable	Highly stable
des	RvY_00846-1	1	highly_stable	Highly stable
des	RvY_00848	1	highly_stable	Highly stable
des	RvY_00849-1	1	highly_stable	Highly stable
des	RvY_00850	1	highly_stable	Highly stable
des	RvY_00851-1	1	highly_stable	Highly stable
des	RvY_00854-1	1	highly_stable	Highly stable
des	RvY_00855-1	1	highly_stable	Highly stable
des	RvY_00856-1	1	highly_stable	Highly stable
des	RvY_00858-1	1	highly_stable	Highly stable
des	RvY_00859-1	1	highly_stable	Highly stable
des	RvY_00860-1	1	highly_stable	Highly stable
des	RvY_00861-1	1	highly_stable	Highly stable
des	RvY_00863-2	1	highly_stable	Highly stable
des	RvY_00864-1	1	highly_stable	Highly stable
des	RvY_00865-1	1	highly_stable	Highly stable
des	RvY_00868-1	1	highly_stable	Highly stable
des	RvY_00869-1	1	highly_stable	Highly stable
des	RvY_00872-1	1	highly_stable	Highly stable
des	RvY_00873-1	1	highly_stable	Highly stable
des	RvY_00874	1	highly_stable	Highly stable
des	RvY_00875-1	1	highly_stable	Highly stable
des	RvY_00876-1	1	highly_stable	Highly stable
des	RvY_00878-1	1	highly_stable	Highly stable
des	RvY_00879-1	1	highly_stable	Highly stable
des	RvY_00881-1	1	highly_stable	Highly stable
des	RvY_00883-1	1	highly_stable	Highly stable
des	RvY_00885-1	1	highly_stable	Highly stable
des	RvY_00886-1	1	highly_stable	Highly stable
des	RvY_00888-1	1	highly_stable	Highly stable
des	RvY_00889-1	1	highly_stable	Highly stable
des	RvY_00893-1	1	highly_stable	Highly stable
des	RvY_00894-1	1	highly_stable	Highly stable
des	RvY_00895	1	highly_stable	Highly stable
des	RvY_00897-1	1	highly_stable	Highly stable
des	RvY_00898-1	1	highly_stable	Highly stable
des	RvY_00899-1	1	highly_stable	Highly stable
des	RvY_00900-1	1	highly_stable	Highly stable
des	RvY_00901-1	1	highly_stable	Highly stable
des	RvY_00903-1	1	highly_stable	Highly stable
des	RvY_00911-1	1	highly_stable	Highly stable
des	RvY_00912-1	1	highly_stable	Highly stable
des	RvY_00916-1	1	highly_stable	Highly stable
des	RvY_00921-1	1	highly_stable	Highly stable
des	RvY_00922-1	1	highly_stable	Highly stable
des	RvY_00924	1	highly_stable	Highly stable
des	RvY_00925-1	1	highly_stable	Highly stable
des	RvY_00926-1	1	highly_stable	Highly stable
des	RvY_00927-1	1	highly_stable	Highly stable
des	RvY_00929-1	1	highly_stable	Highly stable
des	RvY_00930-1	1	highly_stable	Highly stable
des	RvY_00931-1	1	highly_stable	Highly stable
des	RvY_00932-1	1	highly_stable	Highly stable
des	RvY_00933-1	1	highly_stable	Highly stable
des	RvY_00935-1	1	highly_stable	Highly stable
des	RvY_00936-1	1	highly_stable	Highly stable
des	RvY_00937-1	1	highly_stable	Highly stable
des	RvY_00941-1	1	highly_stable	Highly stable
des	RvY_00942-1	1	highly_stable	Highly stable
des	RvY_00944-1	1	highly_stable	Highly stable
des	RvY_00945-1	1	highly_stable	Highly stable
des	RvY_00946-1	1	highly_stable	Highly stable
des	RvY_00947-1	1	highly_stable	Highly stable
des	RvY_00951-1	1	highly_stable	Highly stable
des	RvY_00952-1	1	highly_stable	Highly stable
des	RvY_00953	1	highly_stable	Highly stable
des	RvY_00954-1	1	highly_stable	Highly stable
des	RvY_00958-1	1	highly_stable	Highly stable
des	RvY_00959-1	1	highly_stable	Highly stable
des	RvY_00960-1	1	highly_stable	Highly stable
des	RvY_00961-1	1	highly_stable	Highly stable
des	RvY_00965-1	1	highly_stable	Highly stable
des	RvY_00966-1	1	highly_stable	Highly stable
des	RvY_00967-1	1	highly_stable	Highly stable
des	RvY_00969-1	1	highly_stable	Highly stable
des	RvY_00970-1	1	highly_stable	Highly stable
